hiragana	kanji	eng	lesson
ゆっくり		slowly;leisurely	6
あね	姉	(my) older sister	7
アパート		apartment	7
いもうと	妹	younger sister	7
うた	歌	song	7
おじいさん		grandfather ; old man	7
おとうと	弟	younger brother	7
おとこのひと	男の人	man	7
おにいさん	お兄さん	older brother	7
おねえさん	お姉さん	older sister	7
おばあさん		grandmother ; old woman	7
おんなのひと	女の人	woman	7
かいしゃ	会社	company	7
かぞく	家族	family	7
かみ	髪	hair	7
きょうだい	兄弟	brothers and sisters	7
くち	口	mouth	7
くに	国	country	7
くるま	車	car	7
ゲーム		game	7
コンビニ		convenience store	7
サークル		club activity	7
しょくどう	食堂	cafeteria ; dinning commons	7
ちち	父	(my) father	7
ディーブイディー		DVD	7
はは	母	(my) mother	7
め	目	eye	7
めがね	眼鏡	glasses	7
あたまがいい	頭がいい	smart	7
かわいい		cute	7
せがたかい	背が高い	tall (stature)	7
せがひくい	背が低い	short (stature)	7
ながい	長い	long	7
はやい	速い	fast	7
みじかい	短い	short (length)	7
しんせつ（な）	親切	kind	7
べんり（な）	便利	convenience	7
（～を）うたう	歌う	sing	7
（～を）かぶる		put on (a hat) ~	7
（～を）しる	知る	get to know	7
しっています	知っています	I know	7
しりません	知りません	I do not know	7
すむ	住む	live	7
～にすんでいます		live at	7
（～を）はく		put on (below waist)	7
ふとる	太る	gain weight	7
ふとっています	太っています	be on the heavy side	7
（めがねを）かける		put on (glasses)	7
（～を）きる	着る	put on (above waist)	7
つとめる	勤める	work for	7
～につとめています		work for …	7
やせる		lose weight	7
やせています		be thin	7
（～と）けっこんする	結婚する	get married	7
～が		…but	7
なにも+negative	何も	not…anything	7
～にん	～人	~people	7
ひとり	一人	one person	7
ふたり	二人	two people	7
べつに+negative	別に	nothing in paticular	7
もしもし		hello?	7
もちろん		of course	7
よかったら		if you like	7
あさって		the day after tomorrow	8
あめ	雨	rain	8
かいしゃいん	会社員	office worker	8
カメラ		camera	8
カラオケ		karaoke	8
くうき	空気	air	8
けさ	今朝	this morning	8
こくばん	黒板	blackboard	8
こんげつ	今月	this month	8
しごと	仕事	job ; work	8
だいがくせい	大学生	college student	8
てんきよほう	天気予報	weather forecast	8
ところ	所	place	8
トマト		tomato	8
なつ	夏	summer	8
なにか	何か	something	8
パーティー		party	8
バーベキュー		barbecue	8
はし		chopsticks	8
ふゆ	冬	winter	8
ホームステイ		homestay	8
まいしゅう	毎週	every week	8
らいげつ	来月	next month	8
（～が）じょうず（な）	上手	good at	8
（～が）へた（な）	下手	poor at	8
ゆうめい（な）	有名	famouse	8
あめがふる	雨が降る	it rains	8
（～を）あらう	洗う	wash	8
いう	言う	say	8
（～が）いる		need	8
おそくなる	遅くなる	be late	8
おもう	思う	think	8
（～を）きる	切る	cut	8
（～を）つくる	作る	make	8
（～を）もっていく	持っていく	take (a thing)	8
（～を）じろじろみる	じろじろ見る	stare (at…)	8
（～を）すてる	捨てる	throw away	8
（～を）はじめる	始める	begin	8
（～を）うんてんする	運転する	drive	8
（～を）せんたくする	洗濯する	do laundry	8
（～を）そうじする	掃除する	clean	8
（～に）でんわする	電話する	call	8
りょうりする	料理する	cook	8
いつも		always	8
ううん		uh-uh ; no	8
うん		uh-huh ; yes	8
かんぱい	乾杯	cheers	8
ざんねん（ですね）	残念（ですね）	that's too bad	8
～について		about… ; concerning…	8
まだ＋negative		not…yet	8
みんなで		all (of the people) together	8
いいこ	いい子	good child	9
いろ	色	color	9
おべんとう	お弁当	boxed  lunch	9
かぶき	歌舞伎	Japanese theatrical art	9
ギター		guitar	9
きょねん	去年	last year	9
くすり	薬	medicine	9
くすりをのむ	薬を飲む	take medicine	9
コンサート		concert	9
こんど	今度	near future	9
さくぶん	作文	essay	9
しけん	試験	exam	9
スキー		ski	9
せんげつ	先月	last month	9
たんご	単語	word ; volcabulary	9
ピアノ		piano	9
ピザ		pizza	9
びょうき	病気	illness ; sickness	9
あおい	青い	blue	9
あかい	赤い	red	9
くろい	黒い	black	9
さびしい	寂しい	lonely	9
しろい	白い	white	9
わかい	若い	young	9
いじわる（な）	意地悪	mean-spirited	9
おどる	踊る	dance	9
（～が）おわる	終わる	something ends	9
にんきがある	人気がある	be popular	9
（～が）はじまる	始まる	something begins	9
（～を）ひく	弾く	play a string instrument	9
（person に thing を）もらう		get from somebody	9
（～を）おぼえる	覚える	memorize	9
（～に）でる	出る	appear ; attend	9
（～を）でる	出る	exit	9
うんどうする	運動する	physical exercises	9
さんぽする	散歩する	take a walk	9
～から		from	9
ぜひ	是非	by all means	9
ところで		by the way	9
みんな		all	9
もう		ready	9
ひとつ	一つ	one piece	9
ふたつ	二つ	two piece	9
みっつ	三つ	three piece	9
よっつ	四つ	four piece	9
いつつ	五つ	five piece	9
むっつ	六つ	six piece	9
ななつ	七つ	seven piece	9
やっつ	八つ	eight piece	9
ここのつ	九つ	nigh piece	9
とお	十	ten piece	9
あき	秋	fall	10
いしゃ	医者	doctor	10
えき	駅	station	10
おかねもち	お金持ち	rich person	10
かお	顔	face	10
きせつ	季節	season	10
ぎゅうにゅう	牛乳	milk	10
クレジットカード		credit card	10
ケーキ		cake	10
ことし	今年	this year	10
サッカー		soccer	10
シャツ		shirt	10
しんかんせん	新幹線	bullet train	10
すし		sushi	10
せいかつ	生活	life ; living	10
せかい	世界	world	10
ちかてつ	地下鉄	subway	10
てぶくろ	手袋	gloves	10
てんぷら	天ぷら	tempura	10
