hiragana	kanji	eng	lesson	type
ほんとうに	本当に	really	18	Adverbs and other expressions
まず		first of all	18	Adverbs and other expressions
～までに		by time/date	18	Adverbs and other expressions
おくさま	奥様	wife	19	Nouns
おこさん	お子さん	child	19	Nouns
おれい	お礼	expression of gratitude	19	Nouns
けいご	敬語	honorific language	19	Nouns
こちら		thi way	19	Nouns
しゅっちょう	出張	business trip	19	Nouns
しゅるい	種類	a kind; a sort	19	Nouns
せいかく	性格	personality	19	Nouns
ちゅうがくせい	中学生	junior high school student	19	Nouns
どちら		where	19	Nouns
なまけもの	怠け者	lazy person	19	Nouns
なやみ	悩み	worry	19	Nouns
はずかしがりや	恥ずかしがり屋	shy person	19	Nouns
はなし	話	chat; talk	19	Nouns
ぶちょう	部長	department manager	19	Nouns
ぶんか	文化	culture	19	Nouns
まちがい	間違い	mistake	19	Nouns
なかがいい	仲がいい	be on good/closeterm; to get along well	19	い-adj
まじあ（な）		serious; sober; diligent	19	な-adj
いらっしゃる		horific expresion for いく、くる、いる	19	U-verbs
(person を place まで）おくる	送る	to walk.drive (someone)	19	U-verbs
おこる	怒る	to get angry	19	U-verbs
おっしゃる		honorific expression for いう	19	U-verbs
（～が）おやすみになる	お休みになる	honorific expression for ねる	19	U-verbs
きまる	決まる	to be decide	19	U-verbs
くださる	下さる	honorific expression for くれる	19	U-verbs
ごらんになる	ご覧になる	honorrifice expression for　みる	19	U-verbs
（～と）しりあう	知り合う	to get acquainted with	19	U-verbs
～ていらっしゃる		honorific expression for ～ている	19	U-verbs
なさる		honorific expression for　する	19	U-verbs
（～に）ひっこす	引っ越す	to move (to another place to live)	19	U-verbs
めしあがる	召し上がる	honorific expression for　たべる、のむ	19	U-verbs
よぶ	呼ぶ	to call one's name; to invite	19	U-verbs
よる	寄る	to stop by	19	U-verbs
おくれる	遅れる	to become late	19	Ru-verbs
かける		to sit down	19	Ru-verbs
はれる	晴れる	to become sunny	19	Ru-verbs
(people に）もてる		to be popular (in terms of romantic interest)	19	Ru-verbs
えんりょする	遠慮する	to hold back for the time beging; to refrain from	19	Irregular verbs
（person に meal を）ごちそうする		to treat/invite (someone) to a meal	19	Irregular verbs
（person に event/place に）しょうたいする	招待する	to invite someone (to an event/a place)	19	Irregular verbs
ちゅういする	注意する	to watch out; to give warning	19	Irregular verbs
はなしをする	話をする	to have a talk	19	Irregular verbs
おととい		the day before yesterday	19	Adverbs and other expressions
なぜ		why （= どうして）	19	Adverbs and other expressions
ほんとうは	本当は	in fact; originally	19	Adverbs and other expressions
まいあさ	毎朝	every morning	19	Adverbs and other expressions
まだ		still	19	Adverbs and other expressions
～めいさま	～名様	party of … people	19	Adverbs and other expressions
ようこそ		welcome	19	Adverbs and other expressions
（～に）よろしくおつたえください	よろしくお伝えください	please give my best regards to…	19	Adverbs and other expressions
あちら		that way	20	Nouns
うちゅうじん	宇宙人	place alien	20	Nouns
おと	音	sound	20	Nouns
かかりのもの	係の者	our person in charge	20	Nouns
かど	角	corner	20	Nouns
かみさま	神様	god	20	Nouns
くうこう	空港	airport	20	Nouns
じ	字	letter;character	20	Nouns
してん	支店	branch office	20	Nouns
しゅみ	趣味	hobby; pastime	20	Nouns
しょうせつ	小説	novel	20	Nouns
しんごう	信号	traffic light	20	Nouns
スニーカー		sneakers	20	Nouns
せんす	扇子	fan	20	Nouns
つき	月	moon	20	Nouns
ハイヒール		high heels	20	Nouns
～や	～屋	… shop	20	Nouns
ゆうべ		last night	20	Nouns
おもい	重い	heavy; serious	20	い-adj
あるく	歩く	to walk	20	U-verbs
いたす	致す	extra-modest expression for する	20	U-verbs
いただく	頂く	extra-modest expression for たべる、のむ	20	U-verbs
いただく	頂く	humble expression for もらう	20	U-verbs
うかがう	伺う	to humbly visitel to humbly ask	20	U-verbs
おる		extra-modest expression for いる	20	U-verbs
ござる		extra-modest expression for ある	20	U-verbs
～ておる		extra-modest expression for ～ている	20	U-verbs
～でござる		extra-modest expression for です	20	U-verbs
まいる	参る	extra-modest expression for いく、くる	20	U-verbs
（cornerをdirectionに）まがる	曲がる	to turn righ/left	20	U-verbs
もうす	申す	extra-modest expression for いう	20	U-verbs
もどる	戻る	to return; to come back	20	U-verbs
（～が）きこえる	聞こえる	to be audible	20	Ru-verbs
さしあげる	差し上げる	humble expression for あげる	20	Ru-verbs
つたえる	伝える	to convey message	20	Ru-verbs
またせる	待たせる	to keep someone waiting	20	Ru-verbs
こうかんする	交換する	to exchange	20	Irregular verbs
せいかつする	生活する	to lead a life	20	Irregular verbs
へんぴんする	返品する	to return (marchandise)	20	Irregular verbs
おや		Oh!	20	Adverbs and other expressions
～かい	～階	..th floor	20	Adverbs and other expressions
かしこまりました		certainly	20	Adverbs and other expressions
さあ		I am not sure	20	Adverbs and other expressions
しつれいしました	失礼しました	I'm very sorry	20	Adverbs and other expressions
しょうしょう	少々	a few seconds	20	Adverbs and other expressions
それでは		if that is the case;…	20	Adverbs and other expressions
できれば		if possible	20	Adverbs and other expressions
まことに	誠に	really (very polite)	20	Adverbs and other expressions
また		again	20	Adverbs and other expressions
～みたいなX		X such as	20	Adverbs and other expressions
